Waiting on bqjob_r3aa3562f34d9750c_0000019dd4a789e1_1 ... (0s) Current status: PENDING                                                                                      Waiting on bqjob_r3aa3562f34d9750c_0000019dd4a789e1_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r3aa3562f34d9750c_0000019dd4a789e1_1 ... (1s) Current status: DONE   
dim,driver,val,p,d,s
C,ME Vendedor Seller Dev,MULTICANAL CHAT,932,138,1194
C,ME Vendedor Seller Dev,MULTICANAL C2C,212,36,272
C,ME Vendedor Seller Dev,(sem canal),0,4,4
C,ME Vendedor Seller Dev,CHAT,10,0,12
O,ME Vendedor Seller Dev,KTA_BRASIL,300,78,422
O,ME Vendedor Seller Dev,ATE,484,58,614
O,ME Vendedor Seller Dev,AEC,224,20,264
O,ME Vendedor Seller Dev,CTX,144,18,176
O,ME Vendedor Seller Dev,(sem office),0,4,4
O,ME Vendedor Seller Dev,MELICIDADE,2,0,2
C,Otros CV,MULTICANAL CHAT,57,26,86
C,Otros CV,OFFLINE,13,15,32
C,Otros CV,MULTICANAL C2C,25,6,33
C,Otros CV,(sem canal),4,5,11
C,Otros CV,CHAT,59,4,68
O,Otros CV,ATE,27,16,46
O,Otros CV,AEC,17,12,31
O,Otros CV,KTA_BRASIL,10,8,18
O,Otros CV,MELICIDADE,88,8,102
O,Otros CV,(sem office),4,5,11
O,Otros CV,CTX,2,4,8
O,Otros CV,ONELINK_MEDELLIN,10,3,13
O,Otros CV,ONELINK_BOGOTA,0,0,1
C,PCF Vendedor Mature,MULTICANAL CHAT,43,15,69
C,PCF Vendedor Mature,MULTICANAL C2C,8,4,12
O,PCF Vendedor Mature,MELICIDADE,28,9,45
O,PCF Vendedor Mature,AEC,9,4,14
O,PCF Vendedor Mature,ATE,11,3,15
O,PCF Vendedor Mature,CTX,0,2,2
O,PCF Vendedor Mature,KTA_BRASIL,3,1,5
C,PCF Vendedor Meli Pro,MULTICANAL CHAT,61,11,82
C,PCF Vendedor Meli Pro,MULTICANAL C2C,6,1,7
O,PCF Vendedor Meli Pro,MELICIDADE,51,8,66
O,PCF Vendedor Meli Pro,ATE,12,3,17
O,PCF Vendedor Meli Pro,AEC,2,1,4
