CUS_CUST_ID,semana,processo,cdu,solucao,qtd
84636219,Pre_01-16Mar,Reversa,Quiere consultar por una devolución en camino,En devolución: envío con estado cancelado,4
84636219,Pre_01-16Mar,PR - Propiedad intelectual,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),4
84636219,Pre_01-16Mar,Reputación,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),3
84636219,Pre_01-16Mar,PR - Artículos prohibidos,Rollback,Artículo Prohibido - Rollback (reactivamos publicación),3
84636219,Pre_01-16Mar,PR - Propiedad intelectual,Fakes,"Propiedad Intelectual - Fakes, moderamos publicación eliminada",3
84636219,Pre_01-16Mar,Denuncia de usuario,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),2
84636219,Pre_01-16Mar,Gestión de Publicación,Modificar,Modificar - Modificaciones desconocidas de integradores o colaboradores,1
84636219,Pre_01-16Mar,PR - Propiedad intelectual,Publicaciones Revisadas,"Propiedad Intelectual - Publicación revisada, mantenemos la baja",1
84636219,Pre_01-16Mar,Despacho Ventas y Publicaciones,Reclama por el costo de envío,Envio a cargo del V: indicamos cómo cargar dimensiones,1
84636219,Pre_01-16Mar,PR - Propiedad intelectual,Rollback,Propiedad Intelectual - Quitamos la moderación para reactivar la publicación (Rollback),1
84636219,Pre_01-16Mar,PR - Propiedad intelectual,Rollback,"Propiedad Intelectual - Rollback a infracción, publicación eliminada",1
84636219,S1_17-23Mar,PR - Propiedad intelectual,Fakes,Propiedad intelectual - Factura inválida,132
84636219,S1_17-23Mar,PR - Propiedad intelectual,Fakes,Propiedad Intelectual - Aprobamos factura y reactivamos la publicación,84
84636219,S1_17-23Mar,PR - Propiedad intelectual,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),72
84636219,S1_17-23Mar,PR - Propiedad intelectual,Acuerdos Comerciales,Propiedad Intelectual - Producto de marca de publicación limitada (Goldlist - Gating),40
84636219,S1_17-23Mar,PR - Propiedad intelectual,Publicación activa,Consultas generales - La publicación se encuentra activa,35
84636219,S1_17-23Mar,PR - Propiedad intelectual,Fakes,Propiedad intelectual - Pedimos factura (Fakes),23
84636219,S1_17-23Mar,PR - Propiedad intelectual,Publicaciones Revisadas,"Propiedad Intelectual - Publicación revisada, mantenemos la baja",3
84636219,S1_17-23Mar,PR - Propiedad intelectual,Rollback,Propiedad Intelectual - Quitamos la moderación para reactivar la publicación (Rollback),3
84636219,S1_17-23Mar,PR - Propiedad intelectual,Fakes,"Propiedad Intelectual - Fakes, moderamos publicación eliminada",3
84636219,S1_17-23Mar,PR - Datos Personales,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),2
84636219,S1_17-23Mar,Denuncia de usuario,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),2
84636219,S1_17-23Mar,PR - Artículos prohibidos,Bugs,General Bugs - Pedido de datos por posible error (OFFLINE),2
84636219,S1_17-23Mar,Denuncia de usuario,Generales,Pedido de datos - Solicitamos datos para gestión,1
84636219,S1_17-23Mar,Reputación,Reclamos,Analizamos reputación - Reclamo afecta la reputación por producto incompatible y mantenemos impacto,1
84636219,S1_17-23Mar,PR - Propiedad intelectual,Fakes,Propiedad Intelectual - Publicación anulada por facturas (Fakes),1
84636219,S1_17-23Mar,PR - Propiedad intelectual,Goldlist,Publicar - Seller no puede solicitar ser parte de la Goldlist,1
84636219,S1_17-23Mar,PR - Propiedad intelectual,Held,Publicación pausada - Quitamos el tag HELD y reactivamos,1
84636219,S1_17-23Mar,Reputación,Generales,Pedido de datos - Solicitamos datos para gestión,1
84636219,S1_17-23Mar,PR - Artículos prohibidos,Publicación activa,Consultas generales - La publicación se encuentra activa,1
84636219,S1_17-23Mar,Gestión de Publicación,Modificar,Modificar - Estado de la publicación y cómo cambiarlo,1
84636219,S1_17-23Mar,Gestión de Publicación,Modificar,Modificar - Modificaciones desconocidas de integradores o colaboradores,1
84636219,S1_17-23Mar,Reputación,Cancelaciones,Analizamos reputación - Cancelación afecta la reputación y excluimos,1
84636219,S1_17-23Mar,PR - Propiedad intelectual,Fakes,"Propiedad Intelectual - Publicación moderada por reseñas, mensajes y/o reclamos de producto falso (Fakes)",1
84636219,S1_17-23Mar,PR - Artículos prohibidos,Rollback,Artículo Prohibido - Rollback (reactivamos publicación),1
84636219,S1_17-23Mar,PR - Propiedad intelectual,Fakes,Propiedad Intelectual - Publicación inactiva por infringir políticas de productos falsificados (Fakes),1
84636219,S2_24-30Mar,PR - Propiedad intelectual,Fakes,Propiedad Intelectual - Aprobamos factura y reactivamos la publicación,27
84636219,S2_24-30Mar,PR - Propiedad intelectual,Fakes,Propiedad intelectual - Factura inválida,19
